algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes
expected_sarsa,Expected SARSA,0.8,4,p0.80_m4,0,10000,0.7,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,0,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,500,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,1000,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,1500,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,2000,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,2500,0.02,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,3000,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,3500,0.0,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,4000,0.04,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,4500,0.12,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,5000,0.1,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,5500,0.12,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,6000,0.12,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,6500,0.16,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,7000,0.36,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,7500,0.4,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,8000,0.44,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,8500,0.52,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,9000,0.86,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,9500,0.84,random8,8x8,1.0,10
sarsa_lambda,SARSA(lambda),0.8,4,p0.80_m4,0,10000,0.76,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,0,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,500,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,1000,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,1500,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,2000,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,2500,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,3000,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,3500,0.0,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,4000,0.04,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,4500,0.04,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,5000,0.04,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,5500,0.02,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,6000,0.08,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,6500,0.26,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,7000,0.54,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,7500,0.54,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,8000,0.6,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,8500,0.84,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,9000,0.84,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,9500,0.74,random8,8x8,1.0,10
q_lambda,Q(lambda),0.8,4,p0.80_m4,0,10000,0.56,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,0,0.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,500,0.68,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,1000,0.92,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,1500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,2000,0.98,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,2500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,3000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,3500,0.98,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,4000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,4500,0.54,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,5000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,5500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,6000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,6500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,7000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,7500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,8000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,8500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,9000,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,9500,1.0,random8,8x8,1.0,10
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,10000,1.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,0,0.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,500,0.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,1000,0.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,1500,0.84,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,2000,0.4,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,2500,1.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,3000,0.84,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,3500,0.92,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,4000,1.0,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,4500,0.94,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,5000,0.98,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,5500,0.94,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,6000,0.98,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,6500,0.98,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,7000,0.4,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,7500,0.98,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,8000,0.64,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,8500,0.82,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,9000,0.94,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,9500,0.98,random8,8x8,1.0,10
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,10000,0.9,random8,8x8,1.0,10
sarsa,SARSA,0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,500,0.64,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,1000,0.68,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,1500,0.78,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,2000,0.72,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,2500,0.9,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,3000,0.96,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,3500,0.76,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,4000,0.9,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,4500,0.92,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,5000,0.8,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,5500,0.88,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,6000,0.86,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,6500,0.9,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,7000,0.98,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,7500,0.96,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,8000,0.96,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,8500,0.96,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,9000,0.94,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,9500,0.96,random8,8x8,1.0,3
sarsa,SARSA,0.85,0,p0.85_m0,0,10000,0.9,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,500,0.72,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,1000,0.8,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,1500,0.78,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,2000,0.76,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,2500,0.76,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,3000,0.94,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,3500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,4000,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,4500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,5000,0.98,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,5500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,6000,0.98,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,6500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,7000,0.96,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,7500,0.94,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,8000,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,8500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,9000,0.96,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,9500,1.0,random8,8x8,1.0,3
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,10000,0.96,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,1000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,1500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,2000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,2500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,3000,0.98,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,3500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,4000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,4500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,5000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,5500,0.9,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,6000,0.98,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,6500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,7000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,7500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,8000,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,8500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,9000,0.9,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,9500,1.0,random8,8x8,1.0,3
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,500,0.18,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,1000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,1500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,2000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,2500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,3000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,3500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,4000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,4500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,5000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,5500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,6000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,6500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,7000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,7500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,8000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,8500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,9000,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,9500,1.0,random8,8x8,1.0,3
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,500,0.96,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,1000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,1500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,2000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,2500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,3000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,3500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,4000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,4500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,5000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,5500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,6000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,6500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,7000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,7500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,8000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,8500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,9000,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,9500,1.0,random8,8x8,1.0,3
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,0,0.04,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,500,0.66,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,1000,0.96,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,1500,0.88,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,2000,0.96,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,2500,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,3000,0.94,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,3500,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,4000,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,4500,0.74,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,5000,0.88,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,5500,0.98,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,6000,0.86,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,6500,0.98,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,7000,0.98,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,7500,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,8000,0.98,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,8500,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,9000,1.0,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,9500,0.96,random8,8x8,1.0,3
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3
q_learning,Q-learning,0.85,1,p0.85_m1,0,0,0.0,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,500,0.0,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,1000,0.18,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,1500,0.28,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,2000,0.56,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,2500,0.54,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,3000,0.72,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,3500,0.78,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,4000,0.7,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,4500,0.92,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,5000,0.9,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,5500,0.88,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,6000,0.9,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,6500,0.98,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,7000,0.98,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,7500,0.92,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,8000,1.0,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,8500,0.94,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,9000,0.9,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,9500,1.0,random8,8x8,0.9933333333333333,7
q_learning,Q-learning,0.85,1,p0.85_m1,0,10000,0.94,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,0,0.0,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,500,0.0,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,1000,0.02,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,1500,0.02,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,2000,0.0,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,2500,0.02,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,3000,0.08,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,3500,0.04,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,4000,0.08,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,4500,0.22,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,5000,0.44,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,5500,0.34,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,6000,0.16,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,6500,0.38,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,7000,0.76,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,7500,0.78,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,8000,0.7,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,8500,0.74,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,9000,0.86,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,9500,0.96,random8,8x8,0.9933333333333333,7
sarsa,SARSA,0.85,1,p0.85_m1,0,10000,0.94,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,0,0.0,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,500,0.0,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,1000,0.16,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,1500,0.24,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,2000,0.26,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,2500,0.32,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,3000,0.4,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,3500,0.46,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,4000,0.72,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,4500,0.68,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,5000,0.82,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,5500,0.94,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,6000,0.96,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,6500,0.94,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,7000,0.98,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,7500,0.92,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,8000,0.92,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,8500,0.94,random8,8x8,0.9933333333333333,7
expected_sarsa,Expected SARSA,0.85,1,p0.85_m1,0,9000,0.96,random8,8x8,0.9933333333333333,7
